nombre,iniciales_equipo,edad,altura_cm,peso_kg,pais,part_jug,pts,reb,ast,blk,stl,pct_tiro,temporada
Bogdan Bogdanovic,SAC,27.0,198.12,99.79024,Serbia,52,14.6,3.2,3.2,0.0,0.0,0.562,2019-20
Bojan Bogdanovic,UTA,30.0,203.2,102.511792,Croatia,62,20.5,4.2,2.1,0.0,1.0,0.605,2019-20
Brad Wanamaker,BOS,30.0,190.5,95.25431999999999,USA,61,6.7,2.0,2.6,0.0,0.0,0.557,2019-20
Bradley Beal,WAS,26.0,190.5,93.893544,USA,55,30.5,4.3,6.1,0.0,0.0,0.58,2019-20
Brandon Clarke,MEM,23.0,203.2,97.52228,Canada,50,12.0,5.8,1.4,0.0,0.0,0.67,2019-20
Brandon Goodwin,ATL,24.0,182.88,81.64656,USA,34,6.1,2.1,1.5,0.0,0.0,0.507,2019-20
Brandon Ingram,NOP,22.0,200.66,86.18248,USA,55,24.4,6.1,4.3,0.0,0.0,0.591,2019-20
Brandon Knight,DET,28.0,187.96,82.553744,USA,24,7.4,1.5,2.6,0.0,0.0,0.512,2019-20
Brian Bowen II,IND,21.0,198.12,86.18248,USA,5,0.8,1.4,0.0,0.0,0.0,0.222,2019-20
Ben Simmons,PHI,23.0,208.28,108.86208,Australia,54,16.7,7.8,8.2,0.0,0.0,0.608,2019-20
Brook Lopez,MIL,31.0,213.36,127.912944,USA,60,10.9,4.5,1.6,0.0,0.0,0.535,2019-20
Bruno Caboclo,HOU,24.0,205.74,98.883056,Brazil,26,2.6,1.9,0.4,0.0,0.0,0.452,2019-20
Bruno Fernando,ATL,21.0,205.74,108.86208,Angola,54,4.4,3.6,0.9,0.0,0.0,0.544,2019-20
Bryn Forbes,SAS,26.0,187.96,92.98636,USA,61,11.2,2.0,1.8,0.0,0.0,0.5670000000000001,2019-20
Buddy Hield,SAC,27.0,193.04,99.79024,Bahamas,63,20.0,4.8,3.1,0.0,0.0,0.5670000000000001,2019-20
CJ McCollum,POR,28.0,190.5,86.18248,USA,61,22.5,4.1,4.3,0.0,1.0,0.5429999999999999,2019-20
CJ Miles,WAS,32.0,198.12,99.79024,USA,10,6.4,1.2,1.2,0.0,0.0,0.472,2019-20
Caleb Martin,CHA,24.0,195.58,92.98636,USA,16,4.3,1.9,1.0,0.0,0.0,0.516,2019-20
Caleb Swanigan,POR,22.0,205.74,117.93392,USA,26,2.5,3.7,1.2,0.0,0.0,0.597,2019-20
Cam Reddish,ATL,20.0,203.2,98.883056,USA,56,10.3,3.6,1.5,0.0,0.0,0.4970000000000001,2019-20
Cameron Johnson,PHX,24.0,203.2,95.25431999999999,USA,49,8.1,2.9,1.1,0.0,0.0,0.5760000000000001,2019-20
Caris LeVert,BKN,25.0,198.12,92.98636,USA,37,17.5,3.9,4.1,0.0,0.0,0.505,2019-20
Carmelo Anthony,POR,35.0,203.2,107.954896,USA,49,15.1,6.3,1.5,0.0,0.0,0.515,2019-20
Carsen Edwards,BOS,21.0,180.34,90.7184,USA,35,3.0,1.2,0.6,0.0,0.0,0.446,2019-20
Bruce Brown,DET,23.0,193.04,91.625584,USA,57,8.8,4.7,3.9,0.0,0.0,0.516,2019-20
Ben McLemore,HOU,27.0,190.5,88.45044,USA,62,9.9,2.2,0.9,0.0,0.0,0.619,2019-20
Bam Adebayo,MIA,22.0,205.74,115.66596,USA,63,16.0,10.5,5.0,0.0,0.0,0.602,2019-20
BJ Johnson,ORL,24.0,200.66,90.7184,USA,8,1.6,0.8,0.3,0.0,0.0,0.344,2019-20
Aaron Gordon,ORL,24.0,203.2,106.59412,USA,56,14.4,7.6,3.6,0.0,0.0,0.512,2019-20
